2020-11-19 00:51:41,831.1032.701.None.None.Move.clicking – main.py
2020-11-19 00:51:41,835.1032.700.None.None.Move.clicking – main.py
2020-11-19 00:51:41,838.1032.700.None.None.Move.clicking – main.py
2020-11-19 00:51:41,843.1032.699.None.None.Move.clicking – main.py
2020-11-19 00:51:41,846.1032.698.None.None.Move.clicking – main.py
2020-11-19 00:51:41,848.1032.698.None.None.Move.clicking – main.py
2020-11-19 00:51:41,850.1032.697.None.None.Move.clicking – main.py
2020-11-19 00:51:41,854.1032.697.None.None.Move.clicking – main.py
2020-11-19 00:51:41,859.1032.696.None.None.Move.clicking – main.py
2020-11-19 00:51:41,863.1032.695.None.None.Move.clicking – main.py
2020-11-19 00:51:41,866.1033.695.None.None.Move.clicking – main.py
2020-11-19 00:51:41,868.1033.695.None.None.Move.clicking – main.py
2020-11-19 00:51:41,873.1033.694.None.None.Move.clicking – main.py
2020-11-19 00:51:41,879.1033.693.None.None.Move.clicking – main.py
2020-11-19 00:51:41,885.1033.692.None.None.Move.clicking – main.py
2020-11-19 00:51:41,891.1034.692.None.None.Move.clicking – main.py
2020-11-19 00:51:41,892.1034.692.None.None.Move.clicking – main.py
2020-11-19 00:51:41,902.1034.691.None.None.Move.clicking – main.py
2020-11-19 00:51:41,913.1034.690.None.None.Move.clicking – main.py
2020-11-19 00:51:41,926.1034.690.None.None.Move.clicking – main.py
2020-11-19 00:51:41,953.1034.689.None.None.Move.clicking – main.py
2020-11-19 00:51:41,981.1034.688.None.None.Move.clicking – main.py
2020-11-19 00:51:42,197.1034.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,202.1034.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,205.1033.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,208.1033.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,210.1032.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,212.1031.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,214.1031.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,216.1030.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,218.1029.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,219.1028.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,221.1028.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,222.1027.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,224.1026.687.None.None.Move.clicking – main.py
2020-11-19 00:51:42,226.1026.687.None.None.Move.clicking – main.py
